,Unnamed: 0,Offsensive,Hate Speech ,Neither,tweet
2281,2326,,,1,"934 8616
i got a missed call from yo bitch"
15914,16283,,,1,RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!
18943,19362,,,1,"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!"
16407,16780,1,1,,RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit
13326,13654,1,,,Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.
12914,13233,,,1,"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch."
21457,21919,,,1,"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;"
12246,12557,1,,,"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch."
13083,13404,1,,,My momma keep talking to me like bitch gtf I'm on Twitter.
19409,19839,1,,,RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now
24146,24648,,,1,like a bitch pic is flirting nowadays
4273,4399,1,,,@Nien_Nunb what did you search? Gay redneck episode 1 play?
9642,9905,,,1,"Halloween's over, and bitches still playing roles."
23843,24340,1,1,,fucking queer
22855,23334,1,,,"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?"
10907,11189,,,1,I stopped snapping on women and calling them bitches.
3778,3886,1,,,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
11464,11757,,,1,"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga."
20993,21444,,,1,So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok
4794,4934,,,1,@StunningStina their tortillas are trash though.
18490,18899,1,,,"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;"
23996,24493,1,,,i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol
15789,16158,,,1,"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;"
24006,24503,1,,,"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB"
2232,2277,1,,,2 or 3 hoes for everything &#128527;&#128520;&#128526;
11500,11793,,,1,"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch."
11783,12082,,,1,Ima start friend zoning these hoes &#128514;&#128514;&#128514;
