Andy,,Unnamed: 0,tweet
2,2281,2326,"934 8616
i got a missed call from yo bitch"
2,15914,16283,RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!
1,18943,19362,"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!"
1,16407,16780,RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit
1,13326,13654,Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.
2,12914,13233,"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch."
2,21457,21919,"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;"
1,12246,12557,"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch."
1,13083,13404,My momma keep talking to me like bitch gtf I'm on Twitter.
1,19409,19839,RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now
2,24146,24648,like a bitch pic is flirting nowadays
1,4273,4399,@Nien_Nunb what did you search? Gay redneck episode 1 play?
2,9642,9905,"Halloween's over, and bitches still playing roles."
0,23843,24340,fucking queer
2,22855,23334,"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?"
2,10907,11189,I stopped snapping on women and calling them bitches.
0,3778,3886,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
1,11464,11757,"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga."
2,20993,21444,So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok
2,4794,4934,@StunningStina their tortillas are trash though.
1,18490,18899,"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;"
1,23996,24493,i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol
2,15789,16158,"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;"
2,24006,24503,"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB"
1,2232,2277,2 or 3 hoes for everything &#128527;&#128520;&#128526;
2,11500,11793,"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch."
1,11783,12082,Ima start friend zoning these hoes &#128514;&#128514;&#128514;
2,18637,19049,RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.
1,21998,22465,This bitch pregnant again &#128064;&#128514;&#128514;
1,18859,19277,RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!
1,17986,18390,RT @VibeLord: your opinion of me is highly irrelevant bitch
1,14381,14724,RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead
1,19902,20343,RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!
1,22059,22526,This hoe taken by the world smh
1,14614,14964,RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr
1,19588,20023,"RT @lovexlilyy: don't play games with a girl who can play better, bitch."
2,11311,11601,I'm just tryna get to sleep before the birds start getting rowdy.
